dataset,pseudo_strategy,mode,best_val_acc,best_epoch,result_path
BowTurnHead,none,linear,88.32933653077538,18,results/phase3_finetune/full_pipeline/full_20260418_0001/BowTurnHead_linear_none_result.json
BowTurnHead,none,lora,87.34345856648015,3,results/phase3_finetune/lora_sweep/20260421_235410/BowTurnHead_lora_none_result.json
BowTurnHead,agreement,linear,14.388489208633093,1,results/phase3_finetune/full_pipeline/full_20260418_0001/BowTurnHead_linear_agreement_result.json
BowTurnHead,agreement,lora,19.690913935518253,9,results/phase3_finetune/lora_sweep/20260421_235410/BowTurnHead_lora_agreement_result.json
BowTurnHead,gt,linear,93.79163335997869,14,results/phase3_finetune/full_pipeline/full_20260418_0001/BowTurnHead_linear_gt_result.json
BowTurnHead,gt,lora,97.9216626698641,3,results/phase3_finetune/lora_sweep/20260421_235410/BowTurnHead_lora_gt_result.json

HandriseReadWrite,none,linear,75.60709838107098,15,results/phase3_finetune/full_pipeline/full_20260418_0001/HandriseReadWrite_linear_none_result.json
HandriseReadWrite,none,lora,76.68897882938978,1,results/phase3_finetune/lora_sweep/20260421_235410/HandriseReadWrite_lora_none_result.json
HandriseReadWrite,agreement,linear,53.97727272727273,18,results/phase3_finetune/full_pipeline/full_20260418_0001/HandriseReadWrite_linear_agreement_result.json
HandriseReadWrite,agreement,lora,59.25435865504359,8,results/phase3_finetune/lora_sweep/20260421_235410/HandriseReadWrite_lora_agreement_result.json
HandriseReadWrite,gt,linear,79.91905354919054,5,results/phase3_finetune/full_pipeline/full_20260418_0001/HandriseReadWrite_linear_gt_result.json
HandriseReadWrite,gt,lora,87.05635118306351,10,results/phase3_finetune/lora_supplement/HandriseReadWrite_lora_gt_result.json

TeacherBehavior,none,linear,42.26528348665753,2,results/phase3_finetune/full_pipeline/full_20260418_0001/TeacherBehavior_linear_none_result.json
TeacherBehavior,none,lora,44.34005350035884,4,results/phase3_finetune/lora_sweep/20260421_235410/TeacherBehavior_lora_none_result.json
TeacherBehavior,agreement,linear,42.96992235923533,7,results/phase3_finetune/full_pipeline/full_20260418_0001/TeacherBehavior_linear_agreement_result.json
TeacherBehavior,agreement,lora,45.17518105304365,7,results/phase3_finetune/lora_sweep/20260421_235410/TeacherBehavior_lora_agreement_result.json
TeacherBehavior,gt,linear,69.49827102498858,19,results/phase3_finetune/full_pipeline/full_20260418_0001/TeacherBehavior_linear_gt_result.json
TeacherBehavior,gt,lora,74.75696483330071,15,results/phase3_finetune/lora_sweep/20260421_235410/TeacherBehavior_lora_gt_result.json

BowTurnHead,zero_shot,zero_shot,42.366107114308555,,results/phase0_zero_shot/canonical_20260425_231347/phase0_zero_shot_results.json
HandriseReadWrite,zero_shot,zero_shot,56.88044831880448,,results/phase0_zero_shot/canonical_20260425_231347/phase0_zero_shot_results.json
TeacherBehavior,zero_shot,zero_shot,37.13055392444706,,results/phase0_zero_shot/canonical_20260425_231347/phase0_zero_shot_results.json
