dataset,threshold,seed,n_train,retention_pct,class_coverage,best_val_acc,best_epoch,label_source,confidence_score,require_clip_agreement
BowTurnHead,0.3,43,12365,100.0,2,88.0362,18.0,qwen,pseudo_prob,False
BowTurnHead,0.3,44,12365,100.0,2,87.7698,13.0,qwen,pseudo_prob,False
BowTurnHead,0.3,45,12365,100.0,2,87.7698,13.0,qwen,pseudo_prob,False
BowTurnHead,0.3,46,12365,100.0,2,88.1162,17.0,qwen,pseudo_prob,False
BowTurnHead,0.3,47,12365,100.0,2,88.276,13.0,qwen,pseudo_prob,False
BowTurnHead,0.5,43,4913,39.7331,2,85.6115,2.0,qwen,pseudo_prob,False
BowTurnHead,0.5,44,4913,39.7331,2,85.6115,1.0,qwen,pseudo_prob,False
BowTurnHead,0.5,45,4913,39.7331,2,85.6115,1.0,qwen,pseudo_prob,False
BowTurnHead,0.5,46,4913,39.7331,2,85.6115,1.0,qwen,pseudo_prob,False
BowTurnHead,0.5,47,4913,39.7331,2,85.6382,3.0,qwen,pseudo_prob,False
BowTurnHead,0.6,43,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.6,44,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.6,45,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.6,46,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.6,47,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.7,43,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.7,44,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.7,45,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.7,46,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.7,47,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.8,43,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.8,44,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.8,45,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.8,46,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.8,47,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.9,43,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.9,44,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.9,45,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.9,46,0,0.0,0,,,qwen,pseudo_prob,False
BowTurnHead,0.9,47,0,0.0,0,,,qwen,pseudo_prob,False
HandriseReadWrite,0.3,43,34522,100.0,3,75.3347,19.0,qwen,pseudo_prob,False
HandriseReadWrite,0.3,44,34522,100.0,3,75.4203,13.0,qwen,pseudo_prob,False
