dataset,class_idx,class_name,n_gt_samples,n_model_pairs,cross_model_consistency,cross_model_consistency_weighted,zs_acc
BowTurnHead,0,bow-head,540,10,54.2264,54.2187,70.0
BowTurnHead,1,turn-head,3213,10,51.1059,51.0809,37.72175536881419
HandriseReadWrite,0,hand-raise,2914,10,81.1798,81.1734,90.25728987993139
HandriseReadWrite,1,read,6539,10,56.5242,56.505,24.468573176326654
HandriseReadWrite,2,write,3394,10,78.763,78.7537,90.65998821449617
TeacherBehavior,0,guide,449,10,72.4944,72.4944,0.0
TeacherBehavior,1,answer,853,10,68.898,68.898,0.0
TeacherBehavior,2,on-stage interaction,149,10,47.9195,47.9195,0.0
TeacherBehavior,3,blackboard-writing,277,10,77.9422,77.9422,11.191335740072201
TeacherBehavior,4,teacher,3228,10,85.6382,85.6382,96.84014869888476
TeacherBehavior,5,stand,4967,10,67.4592,67.4592,0.08053150795248641
TeacherBehavior,6,screen,1959,10,66.8096,66.8096,35.17100561510975
TeacherBehavior,7,blackboard,3445,10,69.0885,69.0885,53.43976777939042
