dataset,class_idx,class_name,n_gt_samples,n_model_pairs,cross_model_consistency,cross_model_consistency_weighted
BowTurnHead,0,bow-head,540,10,54.2264,54.2187
BowTurnHead,1,turn-head,3213,10,51.1059,51.0809
HandriseReadWrite,0,hand-raise,2914,10,81.1798,81.1734
HandriseReadWrite,1,read,6539,10,56.5242,56.505
HandriseReadWrite,2,write,3394,10,78.763,78.7537
TeacherBehavior,0,guide,449,10,72.4944,72.4944
TeacherBehavior,1,answer,853,10,68.898,68.898
TeacherBehavior,2,on-stage interaction,149,10,47.9195,47.9195
TeacherBehavior,3,blackboard-writing,277,10,77.9422,77.9422
TeacherBehavior,4,teacher,3228,10,85.6382,85.6382
TeacherBehavior,5,stand,4967,10,67.4592,67.4592
TeacherBehavior,6,screen,1959,10,66.8096,66.8096
TeacherBehavior,7,blackboard,3445,10,69.0885,69.0885
